name, name_abr, price_value, market_cap, fully_distributed_market_cap, volume_24h, volume_slash_market_cap, circulating_supply 
"Phoenix Global","PHB","$0.007638","$27,685,207","$27,685,207","$399,876","0.01444","3.62B PHB"
"Mirrored Invesco QQQ Trust","mQQQ","$369.50","$27,565,743","- -","- -","--","74,602.37 mQQQ"
"LGO Token","LGO","$0.5173","$27,927,016","$112,692,713","$154,063","0.005517","53,985,545.00 LGO"
"Dfyn Network","DFYN","$1.43","$27,911,365","$356,545,011","$3,716,795","0.1332","19,570,716.00 DFYN"
"Unifty","NIF","$26.69","$27,989,826","$133,474,689","$352,469","0.01259","1,048,506.90 NIF"
"pNetwork","PNT","$0.8892","$27,987,855","$78,234,612","$16,225,094","0.5797","31,475,689.64 PNT"
"Mirrored Netflix","mNFLX","$524.96","$27,989,916","- -","$600","0.00002145","53,318.63 mNFLX"
"Bao Finance","BAO","$0.0008303","$28,286,292","$465,207,811","$1,169,787","0.04136","34.07B BAO"
"Unicly CryptoPunks Collection","UPUNK","$0.07229","$18,071,827","$18,071,827","$41,439","0.002293","250,000,000.00 UPUNK"
"Wabi","WABI","$0.1804","$17,989,755","$18,043,887","$2,129,704","0.1184","99,699,999.34 WABI"
"InsurAce","INSUR","$1.61","$18,151,930","$161,112,376","$3,162,496","0.1742","11,266,626.49 INSUR"
"GameCredits","GAME","$0.1201","$18,244,243","$24,023,440","$1,871,499","0.1026","151,887,016.84 GAME"
"Bankera","BNK","$0.0007372","$18,340,467","$18,429,731","$2,350","0.0001281","24.88B BNK"
"BABB","BAX","$0.0003693","$18,405,587","$18,465,600","$407,066","0.02212","49.84B BAX"
"The Midas Touch Gold","TMTG","$0.002101","$18,450,694","$19,248,675","$4,225,773","0.229","8.78B TMTG"
"Hermez Network","HEZ","$3.94","$18,541,259","$394,494,881","$2,391,579","0.129","4,700,000.00 HEZ"
"Measurable Data Token","MDT","$0.02783","$18,704,458","$27,834,415","$2,785,875","0.1489","671,990,346.00 MDT"
"Electric Vehicle Zone","EVZ","$0.04464","$19,765,072","$375,908,245","$1,915,697","0.09692","442,733,056.00 EVZ"
"Restart Energy MWAT","MWAT","$0.03756","$18,778,553","$18,778,553","$25,404","0.001353","500,000,000.00 MWAT"
"Venus SXP","vSXP","$0.04724","$18,737,573","$18,737,573","- -","--","396,674,884.00 vSXP"
"UBIX.Network","UBX","$0.0004156","$18,935,672","$415,637,389","$1,601,260","0.08456","45.56B UBX"
"Infinitecoin","IFC","$0.0002076","$18,806,373","$18,806,373","$5,982","0.0003181","90.60B IFC"
"Waves Enterprise","WEST","$0.451","$18,927,772","$180,410,868","$343,856","0.01817","41,965,923.00 WEST"
"Tokamak Network","TON","$7.03","$19,168,152","$351,407,448","$10,867,502","0.567","2,727,340.00 TON"
"Oraichain Token","ORAI","$6.32","$12,912,330","$124,923,440","$873,210","0.06763","2,044,424.00 ORAI"
"BHPCoin","BHP","$0.644","$12,994,844","$64,402,397","$2,354,467","0.1812","20,177,578.18 BHP"
"Egretia","EGT","$0.003106","$13,105,307","$24,851,830","$28,814,641","2.2","4.22B EGT"
"Validity","VAL","$2.99","$13,062,611","$26,926,462","$943,655","0.07224","4,366,095.47 VAL"
"Atomic Wallet Coin","AWC","$1.23","$13,031,708","$122,898,218","$102,210","0.007843","10,603,658.69 AWC"
"Moeda Loyalty Points","MDA","$0.6735","$13,219,973","$13,219,973","$602,374","0.04557","19,628,888.00 MDA"
"ICHI","ICHI","$3.97","$13,275,910","$19,859,639","$3,427,037","0.2581","3,342,434.86 ICHI"
"Factom","FCT","$1.36","$13,344,646","$13,344,646","$14,861","0.001114","9,847,120.51 FCT"
"Polkamarkets","POLK","$0.3172","$13,347,186","$31,721,540","$544,448","0.04079","42,076,098.13 POLK"
"Mist","MIST","$0.2368","$13,344,206","$236,779,553","$21,179,456","1.59","56,357,088.00 MIST"
"FOAM","FOAM","$0.04236","$13,408,552","$42,355,464","$75,997","0.005668","316,571,949.76 FOAM"
"Dovu","DOV","$0.01902","$13,502,932","$18,333,862","$4,171,590","0.3089","709,812,517.34 DOV"
"Benchmark Protocol","MARK","$1.34","$13,524,687","$28,704,584","$298,240","0.02205","10,095,873.01 MARK"
"STEM CELL COIN","SCC","$0.04192","$13,440,809","$209,581,605","- -","--","320,658,118.00 SCC"
"Chrono.tech","TIME","$19.02","$13,506,385","$13,506,385","$327,223","0.02423","710,112.00 TIME"
"FLETA","FLETA","$0.01196","$13,321,388","$23,913,026","$1,361,643","0.1022","1.11B FLETA"
"MOBOX","MBOX","$1.26","$13,620,895","$1,255,060,768","$4,466,812","0.3279","10,852,777.67 MBOX"
"BioPassport Token","BIOT","$0.01785","$9,216,770","$157,038,312","$793,696","0.08611","516,482,722.00 BIOT"
"Kryll","KRL","$0.2911","$9,223,332","$14,383,407","$119,322","0.01294","31,688,781.00 KRL"
"Presearch","PRE","$0.02632","$9,229,994","$13,160,834","$155,186","0.01681","350,661,436.00 PRE"
"DeFiner","FIN","$0.2231","$9,229,359","11.27","$37,484,628","$818,799","$308,202"
"Ripio Credit Network","RCN","$0.01826","$9,285,933","$18,263,796","$181,863","0.01958","508,404,745.75 RCN"
"Levolution","LEVL","$0.09206","$9,357,831","$28,630,388","$180,441","0.01928","101,650,229.97 LEVL"
"Everex","EVX","$0.4104","$9,316,907","$10,260,911","$2,371,176","0.2545","22,700,000.00 EVX"
"Pillar","PLR","$0.03582","$9,290,869","$28,659,136","$216,298","0.02328","259,348,201.00 PLR"
"Tachyon Protocol","IPX","$0.03558","$9,494,151","$53,366,201","$1,620,220","0.1707","266,858,530.80 IPX"
"PolySwarm","NCT","$0.006089","$9,415,831","$11,482,659","$8,326","0.0008843","1.55B NCT"
"Vitae","VITAE","$0.4827","$9,399,197","$48,272,360","$38,902","0.004139","19,471,178.43 VITAE"
"Equalizer","EQZ","$0.4824","$9,479,790","$48,243,205","$604,237","0.06374","19,650,000.00 EQZ"
"Origo","OGO","$0.02196","$9,673,999","$14,961,248","$49,173,632","5.08","440,516,789.15 OGO"
"Unido EP","UDO","$0.2046","$6,951,108","$23,524,056","$1,475,665","0.2123","33,981,277.09 UDO"
"Aragon Court","ANJ","$0.07857","$9,635,904","$10,107,307","$151,412","0.01571","122,645,461.39 ANJ"
"Zap","ZAP","$0.04069","$9,608,754","$21,158,879","$75,956","0.007905","236,144,465.00 ZAP"
"EXMO Coin","EXM","$0.06487","$6,965,292","$79,383,224","$210,339","0.0302","107,375,446.07 EXM"
"Insights Network","INSTAR","$0.03544","$6,973,782","$10,633,278","$10","0.00000138","196,753,507.90 INSTAR"
"Jobchain","JOB","$0.0009666","$6,905,631","$96,659,880","$215,849","0.03126","7.14B JOB"
"Grid+","GRID","$0.245","$9,613,722","$73,505,976","$288,208","0.02998","39,236,491.00 GRID"
"ProximaX","XPX","$0.001144","$6,975,795","$10,296,450","$60,523","0.008676","6.10B XPX"
"EasyFi","EASY","$2.75","$6,951,547","$27,532,691","$6,989,170","1.01","2,524,833.87 EASY"
"CoinPoker","CHP","$0.02547","$6,995,834","$7,085,388","$4,519","0.0006459","274,720,611.95 CHP"
"ExNetwork Token","EXNT","$0.1112","$7,008,892","$11,116,385","$1,957","0.0002793","63,050,105.09 EXNT"
"Graphlinq Protocol","GLQ","$0.02072","$7,043,334","$10,357,847","$1,998,329","0.2837","339,999,895.00 GLQ"
"TrustVerse","TRV","$0.01388","$7,062,856","$13,881,833","$140,752","0.01993","508,784,134.11 TRV"
"CyberVein","CVT","$0.006684","$7,087,923","$14,354,144","$63,362","0.008939","1.06B CVT"
"ROOBEE","ROOBEE","$0.002822","$7,094,781","$15,238,994","$1,368,350","0.1929","2.51B ROOBEE"
"Cryptopay","CPAY","$0.1041","$7,119,193","$9,413,184","$0","0.00000003","68,380,685.00 CPAY"
"U Network","UUU","$0.0005014","$5,011,279","$5,013,986","$2,111,227","0.4213","9.99B UUU"
"Matrix AI Network","MAN","$0.0235","$5,036,141","$23,500,200","$429,558","0.0853","214,302,041.86 MAN"
"Duck DAO (DLP Duck Token)","DUCK","$0.1638","$5,130,683","$15,724,363","$367,870","0.0717","31,319,194.87 DUCK"
"Quark","QRK","$0.01893","$5,180,915","$5,180,915","$827","0.0001596","273,681,440.00 QRK"
"Razor Network","RAZOR","$0.0591","$5,186,733","$59,102,381","$251,790","0.04855","87,758,446.00 RAZOR"
"Kattana","KTN","$3.68","$5,151,677","$36,788,944","$1,367,139","0.2654","1,400,332.97 KTN"
"Primecoin","XPM","$0.1408","$5,241,408","$5,241,408","$675,873","0.1289","37,233,585.12 XPM"
"NuBits","USNBT","$0.4766","$5,233,908","$33,605,763","- -","--","10,981,667.28 USNBT"
"Safex Token","SFT","$0.002785","$5,252,306","$5,252,306","$512","0.00009755","1.89B SFT"
"Etho Protocol","ETHO","$0.09305","$5,265,329","$5,265,329","$604,405","0.1148","56,587,495.00 ETHO"
"CWV Chain","CWV","$0.001503","$5,323,327","$15,033,771","$10,386","0.001951","3.54B CWV"
"OIN Finance","OIN","$0.1883","$5,256,622","$18,826,333","$726,325","0.1382","27,921,643.01 OIN"
"PumaPay","PMA","$0.0001712","$5,305,767","$13,358,884","$616,612","0.1162","31.00B PMA"
"Genaro Network","GNX","$0.01935","$5,296,125","$12,576,603","$2,046,724","0.3865","273,721,060.69 GNX"
"Eminer","EM","$0.003654","$5,314,976","$7,673,735","$1,148,536","0.2161","1.45B EM"
"Hyve","HYVE","$0.208","$5,335,136","$20,802,935","$539,210","0.1011","25,646,075.20 HYVE"
"Basis Cash","BAC","$0.06873","$3,759,016","9.82","$3,759,023","$382,774","$165,280"
"OneLedger","OLT","$0.008248","$3,748,028","$8,247,517","$102,102","0.02724","454,443,187.71 OLT"
"Gridcoin","GRC","$0.009532","$3,723,680","$4,015,864","$15,577","0.004183","390,651,564.81 GRC"
"Game.com","GTC","$0.004921","$3,746,972","$9,841,751","$168,663","0.04501","761,444,189.76 GTC"
"Unitrade","TRADE","$0.1359","$3,866,711","15.79","$6,794,260","$244,893","$650,830"
"Atlas Protocol","ATP","$0.001449","$3,733,924","$14,494,673","$962,741","0.2578","2.58B ATP"
"Aurox","URUS","$7.98","$3,748,629","$7,975,807","$1,909,767","0.5095","470,000.00 URUS"
"Growth DeFi","GRO","$11.09","$3,787,959","1.94","$22,174,352","$1,948,827","$279"
"Virtue Poker","VPP","$0.2628","$3,811,442","$131,390,468","$619,502","0.1625","14,504,255.00 VPP"
"BitBall","BTB","$0.005932","$3,808,533","$5,932,211","$1,087,893","0.2856","642,008,999.00 BTB"
"Xend Finance","XEND","$0.1929","$3,823,220","$38,574,173","$2,497,279","0.6532","19,822,691.00 XEND"
"Ares Protocol","ARES","$0.02516","$3,824,077","$25,163,402","$352,228","0.09211","151,969,775.90 ARES"
"Litex","LXT","$0.001907","$3,813,867","$3,813,867","$630,818","0.1654","2.00B LXT"
